naziv,lokacija,placa_bruto,placa_neto,placa_po_dogovoru,prosta_mesta,trajanje,id,delovnik
POMOČ V KUHINJI, VELENJE,7.21  ,6.20  ,False,5,DLJE ČASA (ZAČ. IN OBČ. DELO),428698,POPOLDAN
STREŽBA, LUCIJA,/,/,True,3,POČITNIŠKO DELO,428695,IZMENSKO
POMOČ PRI PRODAJI, LJUBLJANA BTC,7.50  ,6.45  ,False,4,DLJE ČASA (ZAČ. IN OBČ. DELO),428694,IZMENSKO
REŠEVALEC/KA IZ VODE, SLOVENSKA BISTRICA,11.62  ,10.00  ,False,1,POČITNIŠKO DELO,428693,PO DOGOVORU
REŠEVALEC/KA IZ VODE," LJUTOMER, LENDAVA",11.62  ,10.00  ,False,1,POČITNIŠKO DELO,428692,PO DOGOVORU
DELO V SKLADIŠČU, LJUBLJANA BTC,7.50  ,6.45  ,False,4,DLJE ČASA (ZAČ. IN OBČ. DELO),428691,IZMENSKO
STREŽBA, PORTOROŽ,/,/,True,3,POČITNIŠKO DELO,428690,IZMENSKO
RAZVOZ, LESCE,8.50  ,7.31  ,False,6,"DO AVGUSTA, PO DOGOVORU",428689,DOPOLDAN
VRTNARSKA DELA, VOLČJI POTOK- PO SLOVENIJI,7.68  ,6.61  ,False,3,PO DOGOVORU,428688,DOPOLDAN
REŠEVALEC/KA IZ VODE," PTUJ, ORMOŽ",11.62  ,10.00  ,False,1,POČITNIŠKO DELO,428687,PO DOGOVORU
STREŽBA, CELJE,8.13  ,7.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428678,IZMENSKO
STREŽBA, MARIBOR,8.13  ,7.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428673,PO DOGOVORU
OBDELAVA IN ODPREMA SPLETNIH NAROČIL, LJUBLJANA,8.37  ,7.20  ,False,2,PO DOGOVORU,428670,DOPOLDAN
STREŽBA, LOČE,8.13  ,7.00  ,False,1,POČITNIŠKO DELO,428659,PO DOGOVORU
POMOČ V TRGOVINI, LJUBLJANA,8.05  ,6.93  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428658,PO DOGOVORU
STREŽBA HRANE IN PIJAČE, ŠARED,8.72  ,7.50  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428654,POPOLDAN
DELO NA BENCINSKEM SERVISU, SLOVENSKA BISTRICA,8.39  ,7.22  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428645,IZMENSKO
STREŽBA, LJUBLJANA - ŠIŠKA,9.30  ,8.00  ,False,1,"DLJE ČASA (ZAČ. IN OBČ. DELO), PO DOGOVORU",428640,IZMENSKO
STREŽBA, MARIBOR,8.13  ,7.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428634,PO DOGOVORU
POMOČ V TRGOVINI, LJUBLJANA BEŽIGRAD,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428629,IZMENSKO
STREŽBA, SELNICA OB DRAVI,8.13  ,7.00  ,False,2,PO DOGOVORU,428627,IZMENSKO
STREŽBA HRANE IN PIJAČE, LJUBLJANA - CENTER,8.13  ,7.00  ,False,4,DLJE ČASA (ZAČ. IN OBČ. DELO),428626,IZMENSKO
STREŽBA, GROSUPLJE,8.13  ,7.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428624,PO DOGOVORU
DELO V KUHINJI, VELJENJE,7.21  ,6.20  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428621,IZMENSKO
DELO NA TERENU, LJUBLJANA,9.30  ,8.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428615,DOPOLDAN
STREŽBA HRANE IN PIJAČE, BLED,,"OD 7,21 DO 10,5 H BRUTO",False,5,DLJE ČASA (ZAČ. IN OBČ. DELO),428610,PO DOGOVORU
POMOČ PRI PRODAJI, LJUBLJANA,8.28  ,7.12  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428600,IZMENSKO
STREŽBA, KOMENDA,8.72  ,7.50  ,False,2,PO DOGOVORU,428596,MED VIKENDI
STREŽBA, LJUBLJANA,9.30  ,8.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428594,IZMENSKO
ČIŠČENJE, IZOLA IN STRUNJAN,8.48  ,7.30  ,False,2,PO DOGOVORU,428593,PO DOGOVORU
POMOČ V STREŽBI, MARIBOR,8.13  ,7.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428590,IZMENSKO
POMOČ V STREŽBI, MARIBOR,8.13  ,7.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428589,PO DOGOVORU
POMOČ V KUHINJI, PREVOJE PRI ŠENTVIDU,9.00  ,7.74  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428587,POPOLDAN
POMOČ V STREŽBI, PREVOJE PRI ŠENTVIDU,9.00  ,7.74  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428586,MED VIKENDI
PRODAJA, BREZJE,8.72  ,7.50  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428576,MED VIKENDI
POMOČ V STREŽBI, LJUBLJNA ŠENTVID,7.21  ,6.20  ,False,2,POČITNIŠKO DELO,428573,POPOLDAN
DELO NA RECEPCIJI, MARIBOR,7.79  ,6.70  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428572,PO DOGOVORU
ELEKTROTEHNIČNA DELA, LIMBUŠ,8.48  ,7.30  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428570,DOPOLDAN
PROMOCIJA, GORNJA RADGONA,10.65  ,9.16  ,False,5,PO DOGOVORU,428567,PO DOGOVORU
POMOČ PRI PRODAJI, LJUBLJANA BTC,9.00  ,7.74  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),428566,IZMENSKO
INFORMACIJSKO KOMUNIKACIJSKA DELA, LIPICA,7.21  ,6.20  ,False,2,POČITNIŠKO DELO,428559,PO DOGOVORU
MONTAŽA, PO SLOVENIJI,9.30  ,8.00  ,False,5,PO DOGOVORU,428554,PO DOGOVORU
ADMINISTRATIVNA DELA, LJUBLJANA,7.90  ,6.80  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428543,DOPOLDAN
ZDRAVSTVENA NEGA, ČRNOMELJ,7.21  ,6.20  ,False,10,POČITNIŠKO DELO,428542,IZMENSKO
POMOČ V STREŽBI, KOSEZE,10.46  ,9.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428541,IZMENSKO
STREŽBA, POSTOJNA,8.50  ,7.31  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),428538,IZMENSKO
DELO NA RECEPCIJI, LJUBLJANA,8.72  ,7.50  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428537,IZMENSKO
DELO V SKLADIŠČU, LJUBLJANA - DOBRUNJE,8.27  ,7.12  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428533,IZMENSKO
POMOČ V STREŽBI, LJUBLJANA,10.00  ,8.61  ,False,1,PO DOGOVORU,428532,DOPOLDAN
DELO V KUHINJI, ANKARAN ,8.72  ,7.50  ,False,2,POČITNIŠKO DELO,428531,PO DOGOVORU
STREŽBA HRANE IN PIJAČE, ANKARAN,8.13  ,7.00  ,False,4,POČITNIŠKO DELO,428529,IZMENSKO
ZDRAVSTVENA NEGA, LJUBLJANA,8.25  ,7.10  ,False,2,POČITNIŠKO DELO,428525,IZMENSKO
POMOČ V STREŽBI, POSTOJNA,/,/,True,3,DLJE ČASA (ZAČ. IN OBČ. DELO),428524,MED VIKENDI
STREŽBA HRANE IN PIJAČE, LJUBLJANA ,9.30  ,8.00  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),428513,IZMENSKO
STREŽBA HRANE IN PIJAČE, MARIBOR,8.13  ,7.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428507,PO DOGOVORU
POMOČ V STREŽBI, LOGATEC,7.50  ,6.45  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428506,IZMENSKO
POMOČ V STREŽBI, ZAGRADEC,10.00  ,8.61  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428504,PO DOGOVORU
POMOČ V KUHINJI, LOGATEC,7.50  ,6.45  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428502,IZMENSKO
STREŽBA HRANE IN PIJAČE, LJUBLJANA,8.13  ,7.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428501,IZMENSKO
RAZVOZ, GRIŽE,8.13  ,7.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428497,POPOLDAN
STREŽBA, RADOMLJE,8.72  ,7.50  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428496,MED VIKENDI
STREŽBA HRANE IN PIJAČE, LOGATEC,8.50  ,7.31  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428495,IZMENSKO
OBLIKOVANJE, KAMNIK,/,/,True,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428494,PO DOGOVORU
POMOČ PRI PRODAJI, LJUBLJANA ,8.72  ,7.50  ,False,3,PO DOGOVORU,428491,PO DOGOVORU
ČIŠČENJE, ŽIRI,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428485,IZMENSKO
STREŽBA, LJUBLJANA CENTER,7.21  ,6.20  ,False,3,"MED POČITNICAMI, MOŽNOST PODALJŠANJA DELA",428480,IZMENSKO
STREŽBA HRANE IN PIJAČE, LJUBLJANA,7.21  ,6.20  ,False,2,"MED POČITNICAMI, MOŽNOST PODALJŠANJA DELA",428479,IZMENSKO
STREŽBA, LJUBLJANA CENTER,7.21  ,6.20  ,False,5,"MED POČITNICAMI, MOŽNOST PODALJŠANJA DELA",428478,IZMENSKO
MENTOR/ICA, TREBNJE - DEBELI RTIČ,/,/,True,5,7. 8. - 14. 8. 2024,428470,PO DOGOVORU
POUČEVANJE, MEDVODE,,20-25  BRUTO45 MIN.,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428464,PO DOGOVORU
DELO V PROIZVODNJI, SLOVENSKA VAS (PRI OBREŽJU),8.50  ,7.31  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),428456,PO DOGOVORU
DELO V PROIZVODNJI, LESKOVEC PRI KRŠKEM,7.21  ,6.20  ,False,6,PO DOGOVORU,428454,IZMENSKO
STREŽBA HRANE IN PIJAČE, LJUBLJANA,9.30  ,8.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428453,PO DOGOVORU
POMOČ V STREŽBI, LJUBLJANA,7.67  ,6.60  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428452,PO DOGOVORU
ADMINISTRATIVNA DELA, CELJE,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428451,DOPOLDAN
ADMINISTRATIVNA DELA, KRANJ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428450,DOPOLDAN
TEHNIČNA POMOČ, LJUBLJANA,8.50  ,7.31  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428449,DOPOLDAN
STREŽBA HRANE IN PIJAČE, SVETI JURIJ OB ŠČAVNICI,8.13  ,7.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428447,IZMENSKO
REŠEVALEC/KA IZ VODE," BLED, ŠOBEC",13.36  ,11.50  ,False,3,POČITNIŠKO DELO,428442,PO DOGOVORU
STREŽBA HRANE IN PIJAČE, LJUBLJANA,10.46  ,9.00  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),428436,IZMENSKO
PROMOCIJA, LJUBLJANA - CENTER,11.84  ,10.19  ,False,4,PO DOGOVORU,428434,POPOLDAN
POMOČ V SKLADIŠČU IN PROD. CENTRIH, MENGEŠ,8.20  ,7.06  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428432,DOPOLDAN
ZDRAVSTVENA NEGA, CELJE IN OKOLICA,8.60  ,7.40  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428430,PO DOGOVORU
STREŽBA, DOMŽALE,8.13  ,7.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428428,IZMENSKO
STREŽBA, LJUBLJANA - BEŽIGRAD,9.30  ,8.00  ,False,2,PO DOGOVORU,428414,PO DOGOVORU
STREŽBA HRANE IN PIJAČE, LJUBLJANA ČRNUČE,8.13  ,7.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428404,PO DOGOVORU
DELO V PROIZVODNJI, MEDVODE,8.13  ,7.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428402,PO DOGOVORU
DELO V PROIZVODNJI, MEDVODE,8.13  ,7.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428398,PO DOGOVORU
KONTROLA KAKOVOSTI, GROSUPLJE,8.50  ,7.31  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428397,DOPOLDAN
PRAVNE STORITVE, LJUBLJANA,8.00  ,6.88  ,False,1,PO DOGOVORU,428394,DOPOLDAN
DELO V SKLADIŠČU, ORMOŽ,8.48  ,7.30  ,False,1,PO DOGOVORU,428392,DOPOLDAN
STREŽBA HRANE IN PIJAČE, KOZINA,8.00  ,6.88  ,False,1,PO DOGOVORU,428387,IZMENSKO
STREŽBA HRANE IN PIJAČE, POSTOJNA,8.00  ,6.88  ,False,1,PO DOGOVORU,428385,IZMENSKO
STROJNA DELA, ŠKOFJA LOKA,8.30  ,7.14  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428383,DOPOLDAN
PRODAJA, POSTOJNA,8.00  ,6.88  ,False,1,PO DOGOVORU,428382,IZMENSKO
STREŽBA, RADOVLJICA,8.13  ,7.00  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),428381,PO DOGOVORU
STREŽBA, KAMNIK,8.50  ,7.31  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428377,IZMENSKO
RAZVOZ, KAMNIK Z OKOLICO,7.34  ,6.32  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428376,IZMENSKO
POMOČ V STREŽBI, PORTOROŽ,8.72  ,7.50  ,False,1,POČITNIŠKO DELO,428367,IZMENSKO
DELO NA RECEPCIJI, LJUBLJANA,9.30  ,8.00  ,False,4,DLJE ČASA (ZAČ. IN OBČ. DELO),428365,IZMENSKO
DELO V TURIZMU, PORTOROŽ,8.30  ,7.14  ,False,3,POČITNIŠKO DELO,428364,IZMENSKO
ADMINISTRATIVNA DELA, POLJČANE,8.72  ,7.50  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428363,DOPOLDAN
DELO V KUHINJI, ŠKOFJA LOKA,8.00  ,6.88  ,False,1,POČITNIŠKO DELO,428351,IZMENSKO
STREŽBA, ZGORNJA LOŽNICA,8.28  ,7.12  ,False,3,PO DOGOVORU,428350,IZMENSKO
POMOČ V STREŽBI, LESCE,8.13  ,7.00  ,False,5,POČITNIŠKO DELO,428348,PO DOGOVORU
DELO S STRANKAMI, PTUJ,8.60  ,7.40  ,False,25,POČITNIŠKO DELO,428347,PO DOGOVORU
DELO V KUHINJI, PTUJ,8.60  ,7.40  ,False,25,POČITNIŠKO DELO,428346,PO DOGOVORU
STREŽBA, CELJE,9.47  ,8.15  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),428342,PO DOGOVORU
POMOČ PRI PRODAJI, LJUBLJANA,7.69  ,6.62  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428340,PO DOGOVORU
FIZIČNA DELA, DOMŽALE ,9.30  ,8.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428337,DOPOLDAN
STREŽBA, PRAGERSKO,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428336,IZMENSKO
STREŽBA, VELIKA NEDELJA,8.13  ,7.00  ,False,2,PO DOGOVORU,428333,PO DOGOVORU
POMOČ V STREŽBI, PODSKRAJNIK,12.00  ,10.33  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428329,PO DOGOVORU
TRŽENJE, MEDVODE,/,/,True,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428327,PO DOGOVORU
POMOČ V STREŽBI, POSTOJNA,12.00  ,10.33  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428325,PO DOGOVORU
POMOČ V STREŽBI, LOGATEC,12.00  ,10.33  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428323,PO DOGOVORU
PISMONOŠA, PODČETRTEK,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428320,DOPOLDAN
PISMONOŠA, KOZJE,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428318,DOPOLDAN
POMOČ V STREŽBI, VRHNIKA,12.00  ,10.33  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428315,PO DOGOVORU
POMOČ PRI PRODAJI, LJUBLJANA ŠIŠKA,7.21  ,6.20  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),428298,IZMENSKO
KNJIGOVODSKA DELA, LESKOVEC PRI KRŠKEM,9.00  ,7.74  ,False,1,PO DOGOVORU,428294,DOPOLDAN
PRODAJA, KRANJSKA GORA,11.62  ,10.00  ,False,1,POLETNA SEZONA,428291,PO DOGOVORU
DELO V SKLADIŠČU, LJUBLJANA,8.80  ,7.57  ,False,8,DO 31. 8. 2024,428287,IZMENSKO
ADMINISTRATIVNA DELA, LJUBLJANA,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428285,DOPOLDAN
POMOČ PRI PRODAJI, LJUBLJANA ŠIŠKA,7.21  ,6.20  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428284,IZMENSKO
RAZVOZ, MEDVODE Z OKOLICO,9.88  ,8.50  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428277,POPOLDAN
MONTAŽA, RADOVLJICA Z OKOLICO,8.72  ,7.50  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428274,DOPOLDAN
POMOČ V TRGOVINI, KOPER,8.13  ,7.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428272,DOPOLDAN
SOBAR/ICA, LJUBLJANA ,9.88  ,8.50  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428267,PO DOGOVORU
DELO NA BENCINSKEM SERVISU, MARIBOR RADVANJE,8.40  ,7.23  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428266,IZMENSKO
POMOČ V KUHINJI, SVETI JURIJ OB ŠČAVNICI,8.13  ,7.00  ,False,3,PO DOGOVORU,428264,IZMENSKO
ADMINISTRATIVNA DELA," VELENJE, SLOVENJ GRADEC",8.13  ,7.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428256,PO DOGOVORU
DELO NA BENCINSKEM SERVISU, IZOLA,8.13  ,7.00  ,False,1,PO DOGOVORU,428242,PO DOGOVORU
STREŽBA, KOPER,9.30  ,8.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428241,PO DOGOVORU
KURIR/KA, KOPER,8.13  ,7.00  ,False,2,PO DOGOVORU,428240,DOPOLDAN
ČIŠČENJE, LJUBLJANA CENTER,11.62  ,10.00  ,False,1,PO DOGOVORU,428239,DOPOLDAN
VZDRŽEVANJE, PODZEMELJ OB KOLPI,10.00  ,8.61  ,False,1,POČITNIŠKO DELO,428238,DOPOLDAN
STREŽBA HRANE IN PIJAČE, HOTEMAŽE,8.72  ,7.50  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428232,IZMENSKO
POMOČ V KUHINJI, KRANJSKA GORA,9.30  ,8.00  ,False,1,POČITNIŠKO DELO,428230,DOPOLDAN
DELO S STRANKAMI, LJUBLJANA ,9.85  ,8.48  ,False,1,PO DOGOVORU,428228,IZMENSKO
PROGRAMIRANJE, LIMBUŠ,8.48  ,7.30  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428226,DOPOLDAN
STREŽBA, PODZEMELJ OB KOLPI,8.00  ,6.88  ,False,4,POČITNIŠKO DELO,428221,PO DOGOVORU
ANIMATOR/KA, PODZEMELJ OB KOLPI,8.00  ,6.88  ,False,2,MED POČITNICAMI,428219,PO DOGOVORU
POMOČ PRI PRODAJI, LJUBLJANA BTC,8.20  ,7.06  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428217,IZMENSKO
DELO NA RECEPCIJI, PODZEMELJ OB KOLPI,8.00  ,6.88  ,False,2,POČITNIŠKO DELO,428216,PO DOGOVORU
STREŽBA, LJUBLJANA BEŽIGRAD,9.88  ,8.50  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428205,PO DOGOVORU
KLICNI CENTER, LJUBLJANA,8.30  ,7.14  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),428202,DOPOLDAN
DELO V TURIZMU, KRANJSKA GORA,9.30  ,8.00  ,False,2,POČITNIŠKO DELO,428201,PO DOGOVORU
BLAGAJNIK, LJUBLJANA,9.00  ,7.74  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428194,IZMENSKO
POMOČ PRI PRODAJI, LOGATEC,8.13  ,7.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428187,PO DOGOVORU
POMOČ V TRGOVINI, LJUBLJANA BTC,8.00  ,6.88  ,False,4,DLJE ČASA (ZAČ. IN OBČ. DELO),428177,IZMENSKO
STREŽBA, ŠKOFLJICA,8.00  ,6.88  ,False,1,PO DOGOVORU,428176,DOPOLDAN
STREŽBA, SLOVENSKA BISTRICA,8.72  ,7.50  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428174,IZMENSKO
ADMINISTRATIVNA DELA, KAMNIK,9.59  ,8.25  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428173,DOPOLDAN
DELO V TURIZMU, IZOLA,7.32  ,6.30  ,False,3,POČITNIŠKO DELO,428171,IZMENSKO
STREŽBA, LJUBLJANA,8.50  ,7.31  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428165,IZMENSKO
STREŽBA HRANE IN PIJAČE, ROGAŠKA SLATINA,8.13  ,7.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428164,PO DOGOVORU
STREŽBA, ŠKOFJA LOKA,10.46  ,9.00  ,False,3,PO DOGOVORU,428162,MED VIKENDI
POMOČ PRI PRODAJI, LJUBLJANA RUDNIK,7.21  ,6.20  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428160,PO DOGOVORU
FIZIČNA DELA, KOMENDA,9.41  ,8.10  ,False,5,DLJE ČASA (ZAČ. IN OBČ. DELO),428159,IZMENSKO
POMOČ PRI PRODAJI, AJDOVŠČINA,8.05  ,6.93  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428158,PO DOGOVORU
POMOČ PRI PRODAJI, IDRIJA,8.05  ,6.93  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428157,PO DOGOVORU
DELO V KUHINJI, LJUBLJANA BARJE,7.50  ,6.45  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428155,IZMENSKO
ADMINISTRATIVNA DELA, LJUBLJANA,8.88  ,7.64  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),428147,DOPOLDAN
STREŽBA HRANE IN PIJAČE, MARIBOR,8.13  ,7.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428142,IZMENSKO
NOVINARSKA DELA, DELO NA DOMU IN TERENU,7.73  ,6.65  ,False,2,PO DOGOVORU,428130,PO DOGOVORU
PRAVNE STORITVE, LJUBLJANA CENTER,8.50  ,7.31  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428126,DOPOLDAN
POMOČ V STREŽBI, LJUBLJANA,7.69  ,6.62  ,False,2,PO DOGOVORU,428119,IZMENSKO
PROJEKTIRANJE, GORNJA RADGONA,/,/,True,1,PO DOGOVORU,428115,DOPOLDAN
KOZMETIČNE STORITVE, LJUBLJANA,9.30  ,8.00  ,False,1,PO DOGOVORU,428114,PO DOGOVORU
RAZVOZ, MARIBOR,7.32  ,6.30  ,False,1,PO DOGOVORU,428110,PO DOGOVORU
VZDRŽEVANJE, DUPLICA (KAMNIK),10.46  ,9.00  ,False,4,DLJE ČASA (ZAČ. IN OBČ. DELO),428099,PO DOGOVORU
POMOČ PRI PRODAJI, LJUBLJANA BTC,7.21  ,6.20  ,False,5,POČITNIŠKO DELO,428098,POPOLDAN
STREŽBA, LJUBLJANA ,9.30  ,8.00  ,False,3,PO DOGOVORU,428092,IZMENSKO
POMOČ V KUHINJI, LJUBLJANA,9.30  ,8.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428090,IZMENSKO
DELO V KUHINJI, LJUBLJANA,11.04  ,9.50  ,False,2,PO DOGOVORU,428089,DOPOLDAN
POMOČ V STREŽBI, LJUBLJANA,9.30  ,8.00  ,False,4,PO DOGOVORU,428088,PO DOGOVORU
DELO S STRANKAMI, KRANJSKA GORA,10.65  ,9.16  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428081,IZMENSKO
STROJNIŠKA DELA, SEŽANA,11.62  ,10.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428080,PO DOGOVORU
STREŽBA HRANE IN PIJAČE, LUCIJA,9.41  ,8.10  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428074,PO DOGOVORU
STREŽBA, LJUBLJANA,10.46  ,9.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428073,PO DOGOVORU
STREŽBA, BREG - MAJŠPERK,9.88  ,8.50  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428067,PO DOGOVORU
POMOČ V STREŽBI, MARIBOR ,9.30  ,8.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428064,POPOLDAN
LAŽJA FIZIČNA DELA, LJUBLJANA,9.00  ,7.74  ,False,2,MED POČITNICAMI,428061,DOPOLDAN
DELO V PROIZVODNJI, HORJUL,8.37  ,7.20  ,False,3,PO DOGOVORU,428051,PO DOGOVORU
STREŽBA HRANE IN PIJAČE, LJUBLJANA,8.13  ,7.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428048,PO DOGOVORU
PRODAJA, PORTOROŽ,7.55  ,6.50  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),428046,PO DOGOVORU
PRODAJA, IZOLA,7.55  ,6.50  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),428045,PO DOGOVORU
VARSTVO, MENGEŠ,9.00  ,7.74  ,False,4,DLJE ČASA (ZAČ. IN OBČ. DELO),428042,POPOLDAN
DELO V SKLADIŠČU, SEŽANA,7.21  ,6.20  ,False,3,POČITNIŠKO DELO,428041,DOPOLDAN
SOBAR/ICA, MARIBOR,8.00  ,6.88  ,False,2,PO DOGOVORU,428039,DOPOLDAN
POUČEVANJE, IDRIJA,17.43  ,15.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428034,DOPOLDAN
DELO NA BENCINSKEM SERVISU, CELJE,7.49  ,6.45  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),428025,IZMENSKO
DELO NA BENCINSKEM SERVISU, CELJE,8.39  ,7.22  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),428020,IZMENSKO
