naziv,lokacija,placa_bruto,placa_neto,placa_po_dogovoru,prosta_mesta,trajanje,id,delovnik
DELO V PROIZVODNJI," MOSTE, ŽIROVNICA",8.13  ,7.00  ,False,3,PO DOGOVORU,432207,PO DOGOVORU
DELO NA BENCINSKEM SERVISU, LJUBLJANA,9.88  ,8.50  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),432256,POPOLDAN
PRODAJA, KRŠKO,7.21  ,6.20  ,False,2,POČITNIŠKO DELO,432355,PO DOGOVORU
POMOČ V TRGOVINI, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432307,IZMENSKO
PRODAJA, KRANJ,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432306,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432414,IZMENSKO
BLAGAJNIK, LJUBLJANA ,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432413,IZMENSKO
DELO V PROIZVODNJI, LOKA PRI TRŽIČU,8.13  ,7.00  ,False,4,PO DOGOVORU,432206,IZMENSKO
POMOČ PRI PRODAJI, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432255,IZMENSKO
DELO V SKLADIŠČU, BRNIK,8.60  ,7.40  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432354,PO DOGOVORU
POMOČ V TRGOVINI, LJUBLJANA BEŽIGRAD,8.00  ,6.88  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),432353,IZMENSKO
PRODAJA, KRANJ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432305,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432412,IZMENSKO
POMOČ V TRGOVINI, ŠKOFJA LOKA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432205,PO DOGOVORU
BLAGAJNIK, ŠKOFJA LOKA,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432204,PO DOGOVORU
POMOČ PRI PRODAJI, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432254,IZMENSKO
ADMINISTRATIVNA DELA, LJUBLJANA,8.50  ,7.31  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432253,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432352,IZMENSKO
BLAGAJNIK, LJUBLJANA,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432351,IZMENSKO
POMOČ V TRGOVINI, KRANJ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432304,IZMENSKO
BLAGAJNIK, LJUBLJANA,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432303,IZMENSKO
PRODAJA, LJUBLJANA CENTER,11.00  ,9.47  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432411,IZMENSKO
PAKIRANJE, BOHINJSKA BISTRICA,8.50  ,7.31  ,False,1,POČITNIŠKO DELO,432410,DOPOLDAN
